,trial_number,set_size,match,correct,response,response_time,probe_letter,session,session_file
122,23.0,6.0,2.0,1.0,52.0,0.79125,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
123,24.0,4.0,2.0,1.0,52.0,1.2885,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
124,25.0,4.0,1.0,1.0,51.0,0.95,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
125,26.0,8.0,2.0,1.0,52.0,1.2075,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
126,27.0,8.0,2.0,1.0,52.0,0.749,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
127,28.0,4.0,2.0,1.0,52.0,0.8355,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
128,29.0,4.0,1.0,1.0,51.0,0.50825,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
129,30.0,8.0,1.0,1.0,51.0,1.26425,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
130,31.0,6.0,2.0,1.0,52.0,0.728,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
131,32.0,8.0,2.0,0.0,1.0,1.141,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
132,33.0,4.0,1.0,1.0,51.0,1.293,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
133,34.0,8.0,1.0,1.0,51.0,1.509,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
134,35.0,8.0,2.0,1.0,52.0,1.40275,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
135,36.0,8.0,1.0,0.0,2.0,2.254,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
136,37.0,4.0,1.0,1.0,51.0,1.42025,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
137,38.0,4.0,2.0,1.0,52.0,1.02725,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
138,39.0,4.0,2.0,1.0,52.0,1.29175,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
139,40.0,4.0,2.0,1.0,52.0,0.996,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
140,41.0,4.0,1.0,1.0,51.0,0.90575,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
141,42.0,6.0,1.0,0.0,2.0,1.46675,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
142,43.0,4.0,1.0,1.0,51.0,1.18375,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
143,44.0,4.0,2.0,1.0,52.0,1.0015,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
144,45.0,6.0,1.0,1.0,51.0,1.04675,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
145,46.0,8.0,1.0,0.0,2.0,1.00225,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
146,47.0,4.0,2.0,1.0,52.0,1.1255,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
147,48.0,6.0,1.0,1.0,51.0,1.352,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
148,49.0,8.0,1.0,1.0,51.0,1.8495,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
149,50.0,4.0,1.0,1.0,51.0,1.00025,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
150,1.0,8.0,1.0,1.0,51.0,1.08825,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
151,2.0,4.0,1.0,1.0,51.0,1.0245,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
152,3.0,4.0,1.0,1.0,51.0,0.6775,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
153,4.0,8.0,1.0,0.0,2.0,1.5915,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
154,5.0,4.0,1.0,1.0,51.0,0.84375,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
155,6.0,4.0,1.0,1.0,51.0,1.67175,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
156,7.0,4.0,2.0,1.0,52.0,1.115,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
157,8.0,8.0,2.0,1.0,52.0,0.936,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
158,9.0,8.0,1.0,1.0,51.0,1.024,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
159,10.0,4.0,1.0,1.0,51.0,1.0155,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
160,11.0,8.0,1.0,1.0,51.0,0.71275,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
161,12.0,8.0,1.0,1.0,51.0,1.6915,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
162,13.0,6.0,2.0,1.0,52.0,0.8895,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
163,14.0,8.0,1.0,0.0,2.0,1.25525,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
164,15.0,4.0,1.0,1.0,51.0,1.4275,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
165,16.0,8.0,1.0,1.0,51.0,1.04925,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
166,17.0,8.0,2.0,1.0,52.0,2.0625,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
167,18.0,8.0,2.0,0.0,1.0,2.34675,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
168,19.0,4.0,1.0,1.0,51.0,1.7225,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
169,20.0,8.0,1.0,1.0,51.0,1.9685,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
170,21.0,6.0,2.0,1.0,52.0,0.9695,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
171,22.0,8.0,1.0,1.0,51.0,0.93,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
172,23.0,4.0,1.0,1.0,51.0,1.067,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
173,24.0,6.0,1.0,1.0,51.0,1.046,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
174,25.0,8.0,1.0,0.0,2.0,1.08325,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
175,26.0,4.0,2.0,1.0,52.0,1.00575,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
176,27.0,6.0,1.0,1.0,51.0,0.89075,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
177,28.0,6.0,2.0,1.0,52.0,1.04575,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
178,29.0,6.0,1.0,1.0,51.0,0.9545,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
179,30.0,4.0,2.0,1.0,52.0,1.6585,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
180,31.0,8.0,2.0,1.0,52.0,1.041,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
181,32.0,6.0,2.0,1.0,52.0,1.44725,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
182,33.0,6.0,2.0,1.0,52.0,1.51975,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
183,34.0,8.0,1.0,0.0,2.0,1.064,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
184,35.0,4.0,2.0,1.0,52.0,1.45175,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
185,36.0,8.0,2.0,1.0,52.0,1.1265,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
186,37.0,4.0,2.0,1.0,52.0,1.266,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
187,38.0,8.0,1.0,1.0,51.0,1.41375,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
188,39.0,8.0,2.0,0.0,1.0,1.4315,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
189,40.0,4.0,2.0,1.0,52.0,1.5015,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
190,41.0,6.0,1.0,1.0,51.0,1.58375,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
191,42.0,6.0,2.0,1.0,52.0,1.00525,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
192,43.0,8.0,1.0,1.0,51.0,1.045,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
193,44.0,6.0,2.0,1.0,52.0,0.77525,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
194,45.0,4.0,2.0,1.0,52.0,1.27125,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
195,46.0,4.0,2.0,1.0,52.0,1.3465,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
196,47.0,4.0,2.0,1.0,52.0,1.1745,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
197,48.0,6.0,1.0,1.0,51.0,1.42725,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
198,49.0,8.0,2.0,1.0,52.0,2.043,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
199,50.0,4.0,1.0,1.0,51.0,1.571,X,4,Data_Subject_08_Session_04.h5_seeg_raw.csv
200,1.0,8.0,2.0,1.0,52.0,0.870375,K,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
201,2.0,4.0,2.0,1.0,52.0,0.933125,L,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
202,3.0,8.0,1.0,1.0,51.0,1.467125,H,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
203,4.0,4.0,1.0,1.0,51.0,1.423625,R,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
204,5.0,6.0,1.0,1.0,51.0,1.924625,H,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
205,6.0,6.0,1.0,1.0,51.0,1.173375,T,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
206,7.0,4.0,2.0,1.0,52.0,0.8745,B,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
207,8.0,4.0,2.0,1.0,52.0,1.25025,L,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
208,9.0,8.0,2.0,1.0,52.0,1.832125,V,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
209,10.0,6.0,1.0,1.0,51.0,1.458875,K,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
210,11.0,4.0,1.0,1.0,51.0,1.284625,H,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
211,12.0,4.0,1.0,0.0,2.0,1.29475,W,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
212,13.0,4.0,1.0,1.0,51.0,2.284125,C,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
213,14.0,4.0,1.0,1.0,51.0,1.61575,L,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
214,15.0,4.0,2.0,1.0,52.0,1.925875,W,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
215,16.0,6.0,2.0,1.0,52.0,1.50525,Q,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
216,17.0,6.0,1.0,0.0,2.0,4.308125,B,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
217,18.0,6.0,1.0,1.0,51.0,2.16725,R,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
218,19.0,6.0,1.0,1.0,51.0,1.08725,P,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
219,20.0,6.0,2.0,1.0,52.0,1.78125,H,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
220,21.0,4.0,2.0,1.0,52.0,1.516,T,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
221,22.0,6.0,2.0,0.0,1.0,3.887375,K,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
222,23.0,4.0,1.0,1.0,51.0,1.898,Q,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
223,24.0,4.0,2.0,1.0,52.0,1.371375,R,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
224,25.0,6.0,1.0,1.0,51.0,1.8135,P,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
225,26.0,4.0,2.0,1.0,52.0,1.290625,B,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
226,27.0,6.0,2.0,1.0,52.0,1.281875,W,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
227,28.0,6.0,1.0,1.0,51.0,1.447125,H,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
228,29.0,4.0,1.0,1.0,51.0,1.422375,W,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
229,30.0,4.0,2.0,1.0,52.0,1.163375,L,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
230,31.0,8.0,2.0,1.0,52.0,2.88675,H,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
231,32.0,4.0,2.0,1.0,52.0,2.167875,H,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
232,33.0,6.0,1.0,1.0,51.0,1.318625,T,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
233,34.0,4.0,2.0,1.0,52.0,2.31425,T,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
234,35.0,4.0,1.0,1.0,51.0,1.57575,T,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
235,36.0,8.0,1.0,1.0,51.0,1.20525,B,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
236,37.0,8.0,2.0,1.0,52.0,0.995875,Q,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
237,38.0,8.0,1.0,1.0,51.0,1.042375,H,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
238,39.0,6.0,1.0,1.0,51.0,1.20125,G,5,Data_Subject_08_Session_05.h5_seeg_raw.csv
